Age,Number of Dependents,Population,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,CLTV,Churn,Gender_Male,Under 30_Yes,Senior Citizen_Yes,Married_Yes,Dependents_Yes,Referred a Friend_Yes,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Phone Service_Yes,Multiple Lines_Yes,Internet Type_DSL,Internet Type_Fiber Optic,Online Security_Yes,Online Backup_Yes,Device Protection Plan_Yes,Premium Tech Support_Yes,Streaming TV_Yes,Streaming Movies_Yes,Streaming Music_Yes,Unlimited Data_Yes,Contract_One Year,Contract_Two Year,Paperless Billing_Yes,Payment Method_Credit Card,Payment Method_Mailed Check
74,1,55668,1,8,48.85,17,80.65,633.3,0.0,0,390.8,1024.1,3,5302,1,False,False,True,True,True,True,False,False,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False
71,3,47534,0,18,11.33,52,95.45,1752.55,45.61,0,203.94,1910.88,2,3179,1,True,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,True,True,True,True,False,False,True,False,False
78,1,27778,1,25,19.76,12,98.5,2514.5,13.43,0,494.00000000000006,2995.07,2,5337,1,False,False,True,True,True,True,False,True,False,False,True,False,False,True,False,True,True,False,True,True,False,True,False,False,True,False,False
80,1,26265,1,37,6.33,14,76.5,2868.15,0.0,0,234.21,3102.36,2,2793,1,False,False,True,True,True,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
72,1,63288,0,27,3.33,18,78.05,2135.5,0.0,10,89.91,2235.41,1,4638,1,False,False,True,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
76,2,21343,1,1,15.28,30,70.45,70.45,0.0,0,15.28,85.73,2,3964,1,False,False,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
66,0,10558,6,58,0.0,24,45.3,2651.2,40.95,0,0.0,2610.25,1,5444,1,True,False,True,True,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,False
70,2,23742,0,15,44.07,19,74.45,1145.7,0.0,0,661.05,1806.75,2,5717,1,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
77,2,32369,0,7,26.95,18,76.45,503.6,11.05,0,188.65,681.2,2,4419,1,False,False,True,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
78,1,57146,0,11,11.59,29,95.0,1120.3,0.0,120,127.49,1367.79,1,5980,1,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False
65,0,33817,0,15,29.11,29,74.4,1074.3,0.0,0,436.65,1510.9499999999998,1,4616,1,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False
77,0,62660,1,1,0.0,12,40.2,40.2,0.0,0,0.0,40.2,2,5828,1,True,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False
67,0,30802,0,3,0.0,28,41.15,132.2,0.0,0,0.0,132.2,2,2314,1,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,True,False,False,True,False,False
68,0,46342,0,13,32.68,11,106.9,1364.3,0.0,10,424.84,1799.14,1,2494,1,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,True,False,True,True,False,False,False,False,True,False,False
68,0,49474,0,16,9.43,9,94.45,1511.2,0.0,0,150.88,1662.08,1,3810,1,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,True,True,True,True,False,False,True,False,False
69,0,34902,0,24,30.87,15,76.1,1712.7,0.0,0,740.88,2453.58,2,2018,1,True,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
74,0,34902,0,4,31.61,2,95.45,396.1,0.0,0,126.44,522.54,3,3677,1,False,False,True,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False
76,0,34902,2,32,47.34,10,74.9,2303.35,0.0,0,1514.88,3818.23,2,4105,1,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
77,0,34902,1,24,16.1,12,93.15,2231.05,0.0,0,386.4,2617.4500000000003,2,2212,1,True,False,True,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,True,True,True,False,False,True,False,False
70,0,34902,0,54,12.08,5,82.45,4350.1,0.0,0,652.32,5002.42,1,4149,1,False,False,True,False,False,False,True,False,False,False,True,True,True,False,True,True,False,True,True,True,True,True,True,False,False,False,False
74,0,34902,0,2,13.17,10,70.35,139.05,0.0,0,26.34,165.39,3,2671,1,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
66,0,34902,2,55,42.82,27,85.45,4874.7,0.0,90,2355.1,7319.799999999999,1,5502,1,False,False,True,True,False,True,True,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False
77,0,34902,0,3,9.22,14,81.35,233.7,0.0,0,27.660000000000004,261.36,1,2818,1,True,False,True,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False
80,0,17018,0,1,35.09,17,75.3,75.3,0.0,20,35.09,130.39,2,4902,1,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
77,0,63999,0,5,0.0,26,28.45,131.05,0.0,0,0.0,131.05,2,4099,1,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
72,0,46214,4,5,45.76,22,74.35,334.8,0.0,0,228.8,563.6,1,5273,1,False,False,True,True,False,True,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
78,0,20893,3,65,18.39,28,105.25,6786.4,0.0,0,1195.35,7981.75,1,4196,1,False,False,True,True,False,True,True,False,False,False,True,True,False,True,True,False,True,False,True,True,False,True,False,False,False,False,False
75,0,576,3,49,22.92,14,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,2,5059,1,True,False,True,True,False,True,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
77,0,31727,1,43,14.52,5,110.75,4687.9,0.0,0,624.36,5312.259999999999,2,2728,1,True,False,True,True,False,True,True,False,False,False,True,True,False,True,False,True,True,True,True,True,False,True,False,False,True,False,False
80,0,1054,0,56,48.8,12,104.55,5794.65,0.0,0,2732.8,8527.449999999999,1,6268,1,True,False,True,True,False,False,True,False,False,False,True,True,False,True,True,False,True,False,True,True,False,True,True,False,True,False,False
80,0,10153,0,2,26.62,11,44.95,85.15,0.0,0,53.24,138.39,2,5900,1,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
65,0,44078,0,4,49.5,23,94.3,424.45,0.0,0,198.0,622.45,2,5419,1,False,False,True,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,True,True,True,True,False,False,True,False,False
75,0,21205,0,8,40.45,29,100.6,819.4,0.0,0,323.6,1143.0,1,5906,1,True,False,True,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,False
68,0,11889,1,3,25.77,2,88.3,273.75,0.0,0,77.31,351.06,1,4486,1,False,False,True,True,False,True,False,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,True
71,0,8157,0,8,42.93,9,92.1,729.95,0.0,0,343.44,1073.39,1,5662,1,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,True,True,False,True,False,False,True,False,False
74,0,21,1,3,3.29,9,80.4,224.05,0.0,0,9.87,233.92,2,3834,1,False,False,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
70,0,476,1,68,24.13,24,89.6,6127.6,0.0,0,1640.84,7768.44,1,5651,1,False,False,True,True,False,True,False,False,False,False,True,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
75,0,2223,1,7,13.63,27,89.5,676.7,0.0,0,95.41,772.11,2,3077,1,True,False,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False
75,0,1447,0,1,29.68,18,69.25,69.25,0.0,0,29.68,98.93,2,4371,1,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
65,0,86,0,22,40.18,8,96.7,2082.95,0.0,100,883.96,3066.91,1,4458,1,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True,True,True,False,False,False,True,False,False
74,0,614,0,19,39.97,9,88.2,1775.8,0.0,0,759.43,2535.23,1,5683,1,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False
70,0,1351,0,15,46.38,19,75.65,1146.65,0.0,0,695.7,1842.35,3,2099,1,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
71,0,48690,0,10,41.37,14,95.35,898.35,0.0,0,413.7,1312.05,1,5353,1,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False
77,0,1845,1,12,6.97,19,80.45,950.2,0.0,0,83.64,1033.84,2,5374,1,True,False,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
76,0,28201,1,13,1.47,5,89.05,1169.35,0.0,0,19.11,1188.4599999999998,1,3861,1,True,False,True,True,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False
77,0,28201,0,23,31.17,23,94.75,2293.6,0.0,0,716.9100000000001,3010.51,2,2740,1,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,True,False,True,False,False,True,False,False
80,0,28201,1,17,36.82,6,85.35,1463.45,0.0,0,625.94,2089.3900000000003,1,3209,1,False,False,True,True,False,True,False,False,True,False,True,True,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False
68,0,4258,0,1,39.78,12,50.15,50.15,0.0,0,39.78,89.93,2,3438,1,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
72,0,18693,0,1,34.51,15,69.6,69.6,0.0,0,34.51,104.11,1,3438,1,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
71,0,17015,0,1,15.28,14,45.1,45.1,0.0,0,15.28,60.38,2,4499,1,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
75,0,68018,0,1,0.0,26,43.3,43.3,0.0,0,0.0,43.3,3,4972,1,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,False
80,0,45358,0,1,15.24,14,45.1,45.1,0.0,0,15.24,60.34,1,2740,1,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
70,0,34716,0,5,12.27,20,78.95,378.4,0.0,0,61.35,439.75,3,4054,1,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
73,0,51213,0,1,30.17,6,93.55,93.55,0.0,0,30.17,123.72,1,5536,1,True,False,True,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False
73,0,51213,0,1,22.5,27,69.95,69.95,0.0,10,22.5,102.45,2,3208,1,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
68,0,34902,1,5,47.28,11,81.0,371.65,40.64,10,236.4,577.41,1,4287,1,False,False,True,True,False,True,False,False,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
72,0,4253,0,1,18.2,13,70.55,70.55,0.0,0,18.2,88.75,3,2146,1,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
79,0,31727,1,66,28.86,25,99.5,6822.15,0.0,0,1904.76,8726.91,1,4479,1,True,False,True,True,False,True,False,False,False,False,True,True,False,True,False,False,True,False,True,True,False,True,False,False,True,True,False
69,0,15757,1,69,48.88,4,108.4,7318.2,0.0,0,3372.7200000000003,10690.92,3,4708,1,True,False,True,True,False,True,False,False,False,False,True,True,False,True,False,True,True,True,True,True,False,True,False,True,True,False,False
73,0,56330,0,25,46.34,22,105.95,2655.25,0.0,0,1158.5,3813.75,2,4283,1,True,False,True,False,False,False,False,True,False,False,True,True,False,True,False,True,True,False,True,True,False,True,False,False,False,True,False
79,0,22920,0,39,41.93,23,95.65,3759.05,0.0,150,1635.27,5544.32,1,4892,1,True,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False
70,0,1458,1,31,47.95,21,98.9,2911.3,0.0,0,1486.45,4397.75,2,4050,1,False,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,True,True,True,True,False,True,False,False,True,False,False
70,0,11147,0,33,17.24,25,110.45,3655.45,0.0,70,568.92,4294.37,1,3401,1,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,True,True,True,True,True,True,False,False,False,True,False,False
69,0,16429,0,13,7.22,28,100.8,1308.1,0.0,0,93.86,1401.9599999999998,1,3269,1,False,False,True,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False,True,True,False,True,False,False,True,False,False
75,0,781,0,10,7.51,18,79.25,793.55,0.0,0,75.1,868.65,1,3856,1,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
67,0,18197,0,10,0.0,4,34.7,329.8,0.0,0,0.0,329.8,1,3244,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
74,0,60620,1,16,26.12,8,74.3,1178.25,0.0,0,417.92,1596.17,1,2076,1,True,False,True,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False
76,0,4264,1,32,43.51,22,104.9,3351.55,33.73,0,1392.32,4710.14,1,3966,1,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,False,True,True,True,True,False,True,False,False,True,False,False
67,0,986,1,12,30.63,27,98.1,1060.2,49.06,0,367.56,1378.7,3,2709,1,False,False,True,True,False,True,False,False,True,False,True,True,False,True,False,True,True,False,True,False,False,True,False,False,True,False,False
65,0,1113,0,12,28.63,7,83.8,1029.75,44.58,80,343.56,1408.73,1,5565,1,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False
67,0,58830,0,14,16.32,11,74.95,1036.75,39.29,0,228.48,1225.94,3,2075,1,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
